#framerate (fps):	25.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00013	 2	 -0.3200	 1.0800	 0.0000	 1.8648	 0.2795	(((-6614.935760, 14649.357602), (-3366.401344, 16255.374617), (855.123217, 15126.848249), (388.863636, 8132.954545), (-5909.915966, 7599.159664), (-6614.935760, 14649.357602)))	(((-4999.999550, 7676.271225), (-5000.000000, 15000.000000), (846.666693, 15000.000388), (388.863636, 8132.954545), (-4999.999550, 7676.271225)))
00013	 28	 -0.2700	 0.4900	 0.0000	 2.5266	 0.3553	(((-6982.214601, 6284.076433), (-5909.915966, 7599.159664), (388.863636, 8132.954545), (2204.918639, 5778.809172), (-2391.950262, 509.227749), (-6982.214601, 6284.076433)))	(((-5000.000040, 7676.271183), (388.863636, 8132.954545), (2204.918639, 5778.809172), (1525.532296, 5000.000437), (-5000.000000, 5000.000000), (-5000.000040, 7676.271183)))
00013	 49	 0.2000	 0.0800	 0.0000	 0.9441	 0.9199	(((-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-2612.505808, -1387.549952), (-2391.950262, 509.227749), (2204.918639, 5778.809172), (10022.042407, 3886.242365), (11309.512751, -0.010711), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-2500.000000, -10000.000000)))	(((5000.000698, 5102.105094), (5000.000000, 5000.000000), (1525.531331, 4999.999331), (2204.918639, 5778.809172), (5000.000698, 5102.105094)))
00013	 39	 0.4300	 1.0300	 0.0000	 1.1782	 0.6865	(((855.123217, 15126.848249), (6301.875419, 17593.302076), (10082.269327, 4091.895262), (10022.042407, 3886.242365), (2204.918639, 5778.809172), (388.863636, 8132.954545), (855.123217, 15126.848249)))	(((846.666606, 14999.999092), (5000.000000, 15000.000000), (5000.000118, 5102.105235), (2204.918639, 5778.809172), (388.863636, 8132.954545), (846.666606, 14999.999092)))
00014	 2	 -0.3100	 1.0700	 0.0000	 1.8995	 0.2795	(((-6573.209117, 14406.078148), (-3382.400365, 16019.820505), (1025.706215, 14850.322841), (379.946894, 8023.724313), (-5767.818182, 7502.727273), (-6573.209117, 14406.078148)))	(((-4999.999891, 7567.796619), (-5000.000000, 15000.000000), (461.538757, 14999.999922), (1025.706215, 14850.322841), (379.946894, 8023.724313), (-4999.999891, 7567.796619)))
00014	 28	 -0.2600	 0.4800	 0.0000	 2.5395	 0.3260	(((-6790.127389, 6224.840764), (-5767.818182, 7502.727273), (379.946894, 8023.724313), (2326.879163, 5440.294957), (-2558.368472, 441.436912), (-6790.127389, 6224.840764)))	(((-4999.998748, 7567.796716), (379.946894, 8023.724313), (2326.879163, 5440.294957), (1896.591753, 5000.000864), (-5000.000000, 5000.000000), (-4999.998748, 7567.796716)))
00014	 12	 -0.0500	 2.0500	 0.0000	 1.1388	 1.0050	(((-4453.902155, 22838.468259), (211.811994, 27285.477057), (7206.238579, 18685.772239), (6179.055690, 17206.139744), (1025.706215, 14850.322841), (-3382.400365, 16019.820505), (-4453.902155, 22838.468259)))	(((1353.124719, 14999.999871), (1025.706215, 14850.322841), (461.538349, 15000.000030), (1353.124719, 14999.999871)))
00014	 49	 0.1800	 0.0500	 0.0000	 0.9876	 0.9552	(((-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-2808.154190, -1191.777396), (-2558.368472, 441.436912), (2326.879163, 5440.294957), (9826.418123, 3466.732073), (11003.396205, -0.003367), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-2500.000000, -10000.000000)))	(((1896.590820, 4999.999909), (2326.879163, 5440.294957), (4000.000489, 4999.999871), (1896.590820, 4999.999909)))
00014	 39	 0.4300	 1.0000	 0.0000	 1.2020	 0.6865	(((1025.706215, 14850.322841), (6179.055690, 17206.139744), (9980.084526, 3993.039503), (9826.418123, 3466.732073), (2326.879163, 5440.294957), (379.946894, 8023.724313), (1025.706215, 14850.322841)))	(((1353.124023, 14999.999553), (5000.000000, 15000.000000), (5000.000000, 5000.000000), (3999.999830, 5000.000045), (2326.879163, 5440.294957), (379.946894, 8023.724313), (1025.706215, 14850.322841), (1353.124023, 14999.999553)))
00015	 2	 -0.3100	 1.0600	 0.0000	 1.9331	 0.2693	(((-6696.561135, 14127.074236), (-3418.185328, 15824.115830), (1027.863236, 14560.502028), (305.153792, 7965.778352), (-5681.051753, 7357.011686), (-6696.561135, 14127.074236)))	(((-5000.000192, 7426.271167), (-5000.000000, 15000.000000), (-518.519195, 15000.000192), (1027.863236, 14560.502028), (305.153792, 7965.778352), (-5000.000192, 7426.271167)))
